One,Two,Dx (class)
0.042774634,0.308150712,PD 
0.029541849,0.310843431,PD 
0.001945593,0.312645975,PD 
0.050325772,0.317544506,PD 
0.056448576,0.306819529,PD 
0.015554369,0.314579675,PD 
0.050385163,0.312977485,PD 
0.107350743,0.31132771,PD 
0.086109295,0.309278891,PD 
0.007847036,0.31589865,PD 
0.038443552,0.306825194,PD 
0.063284182,0.309124362,PD 
0.035212851,0.304229294,PD 
0.018479003,0.312655431,PD 
0.00816591,0.312419969,PD 
0.002502594,0.312537191,PD 
0.045245646,0.31273879,PD 
0.047565821,0.311044447,PD 
0.02113442,0.313358679,PD 
0.019124631,0.311815295,PD 
0.032244393,0.311744537,PD 
0.059192201,0.308063602,PD 
0.037907292,0.313582102,PD 
0.016644377,0.308334951,PD 
0.087145915,0.310603216,ET 
0.091324131,0.31391473,ET 
0.069545978,0.313750026,ET 
0.053077063,0.320016385,ET 
0.049477736,0.316649361,ET 
0.069082847,0.316779307,ET 
0.15072113,0.309766694,ET 
0.177477465,0.319541228,ET 
0.056416134,0.307553869,ET 
0.020484378,0.310438525,ET 
0.306575341,0.329951592,PSP
0.067274974,0.346050632,PSP
0.288004936,0.319442415,PSP
0.233462434,0.31022394,PSP
0.053163359,0.32017651,PSP
0.049800669,0.314507605,PSP
0.052437671,0.31004589,PSP
0.057398158,0.321203126,PSP
0.217787859,0.336701161,PSP
0.063138175,0.324878678,PSP
